track_name;artist(s)_name;artist_count;released_year;released_month;released_day;in_spotify_playlists;in_spotify_charts;streams;in_apple_playlists;in_apple_charts
Seven (feat. Latto) (Explicit Ver.);Latto, Jung Kook;2;2023;7;14;553;147;141381703;43;263
LALA;Myke Towers;1;2023;3;23;1474;48;133716286;48;126
vampire;Olivia Rodrigo;1;2023;6;30;1397;113;140003974;94;207
Cruel Summer;Taylor Swift;1;2019;8;23;7858;100;800840817;116;207
WHERE SHE GOES;Bad Bunny;1;2023;5;18;3133;50;303236322;84;133
Sprinter;Dave, Central Cee;2;2023;6;1;2186;91;183706234;67;213
Ella Baila Sola;Eslabon Armado, Peso Pluma;2;2023;3;16;3090;50;725980112;34;222
Columbia;Quevedo;1;2023;7;7;714;43;58149378;25;89
fukumean;Gunna;1;2023;5;15;1096;83;95217315;60;210
La Bebe - Remix;Peso Pluma, Yng Lvcas;2;2023;3;17;2953;44;553634067;49;110
un x100to;Bad Bunny, Grupo Frontera;2;2023;4;17;2876;40;505671438;41;205
Super Shy;NewJeans;1;2023;7;7;422;55;58255150;37;202
Flowers;Miley Cyrus;1;2023;1;12;12211;115;1316855716;300;215
Daylight;David Kushner;1;2023;4;14;3528;98;387570742;80;156
As It Was;Harry Styles;1;2022;3;31;23575;130;2513188493;403;198
Kill Bill;SZA;1;2022;12;8;8109;77;1163093654;183;162
Cupid - Twin Ver.;Fifty Fifty;1;2023;2;24;2942;77;496795686;91;212
"What Was I Made For? [From The Motion Picture ""Barbie""]";Billie Eilish;1;2023;7;13;873;104;30546883;80;227
Classy 101;Feid, Young Miko;2;2023;3;31;2610;40;335222234;43;100
Like Crazy;Jimin;1;2023;3;24;596;68;363369738;8;104
LADY GAGA;Gabito Ballesteros, Junior H, Peso Pluma;3;2023;6;22;332;26;86444842;11;163
I Can See You (Taylor���s Version) (From The ;Taylor Swift;1;2023;7;7;516;38;52135248;73;119
I Wanna Be Yours;Arctic Monkeys;1;2013;1;1;12859;110;1297026226;24;98
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series);The Weeknd, Madonna, Playboi Carti;3;2023;6;2;1945;87;115364561;74;182
SABOR FRESA;Fuerza Regida;1;2023;6;22;250;26;78300654;16;149
Calm Down (with Selena Gomez);R��ma, Selena G;2;2022;3;25;7112;77;899183384;202;119
MOJABI GHOST;Tainy, Bad Bunny;2;2023;6;29;859;40;61245289;35;109
Last Night;Morgan Wallen;1;2023;1;31;2420;19;429829812;52;107
Dance The Night (From Barbie The Album);Dua Lipa;1;2023;5;25;2988;101;127408954;0;0
Rush;Troye Sivan;1;2023;7;13;864;78;22581161;71;135
TULUM;Peso Pluma, Grupo Frontera;2;2023;6;28;266;34;52294266;20;185
Creepin';The Weeknd, 21 Savage, Metro Boomin;3;2022;12;2;6036;88;843957510;113;149
Anti-Hero;Taylor Swift;1;2022;10;21;9082;56;999748277;242;142
TQG;Karol G, Shakira;2;2023;2;23;4284;49;618990393;115;123
Los del Espacio;Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk;8;2023;6;1;1150;31;123122413;22;33
Fr��gil (feat. Grupo Front;Yahritza Y Su Esencia, Grupo Frontera;2;2023;4;7;672;34;188933502;19;108
Blank Space;Taylor Swift;1;2014;1;1;11434;53;1355959075;154;123
Style;Taylor Swift;1;2014;1;1;7830;42;786181836;94;111
TQM;Fuerza Regida;1;2023;5;19;584;28;176553476;16;159
El Azul;Junior H, Peso Pluma;2;2023;2;10;692;25;354495408;10;107
Sunflower - Spider-Man: Into the Spider-Verse;Post Malone, Swae Lee;2;2018;10;9;24094;78;2808096550;372;117
I'm Good (Blue);Bebe Rexha, David Guetta;2;2022;8;26;12482;80;1109433169;291;184
See You Again;Tyler, The Creator, Kali Uchis;3;2017;7;21;13387;64;1047101291;77;58
Barbie World (with Aqua) [From Barbie The Album];Nicki Minaj, Aqua, Ice Spice;3;2023;6;23;1117;80;65156199;82;145
Angels Like You;Miley Cyrus;1;2020;11;27;3372;19;570515054;65;48
I Ain't Worried;OneRepublic;1;2022;5;13;8431;76;1085685420;241;127
Die For You;The Weeknd;1;2016;11;24;2483;59;1647990401;68;21
Starboy;The Weeknd, Daft Punk;2;2016;9;21;29536;79;2565529693;281;137
Die For You - Remix;Ariana Grande, The Weeknd;2;2023;2;24;3408;47;518745108;87;86
El Cielo;Feid, Myke Towers, Sky Rompiendo;3;2023;6;2;1298;38;107753850;44;64
Baby Don't Hurt Me;David Guetta, Anne-Marie, Coi Leray;3;2023;4;6;4277;66;177740666;145;111
